Country,Murders,Population
Afghanistan,0,38928341
Albania,325,2985432
Algeria,0,43851043
Andorra,0,77265
Angola,0,32866268
Antigua and Barbuda,0,97928
Argentina,660,39195777
Armenia,26,2963234
Australia,88,21499881
Austria,7,9006400
Azerbaijan,194,8539175
Bahamas,0,393248
Bahrain,0,1701583
Bangladesh,0,164689383
Barbados,0,287371
Belarus,267,9449321
Belgium,37,11589616
Belize,0,397621
Benin,0,12123198
Bhutan,0,771612
Bolivia,0,11673029
Bosnia and Herzegovina,2,3280815
Botswana,0,2351625
Brazil,20386,182559409
Brunei,0,437479
Bulgaria,51,7348445
Burkina Faso,0,20903278
Burma,0,54409800
Burundi,0,11890781
Cabo Verde,0,548800
Cambodia,0,16718971
Cameroon,0,26545864
Canada,143,33742157
Central African Republic,0,4829764
Chad,0,16425859
Chile,146,15116209
China,0,1439323774
Colombia,12834,39882884
Comoros,0,869595
Congo (Kinshasa),0,5518092
Costa Rica,75,4094114
Cote d'Ivoire,0,25070000
Croatia,21,4505268
Cuba,348,10926616
Cyprus,0,875899
Czechia,36,10708982
Denmark,20,5792203
Djibouti,0,988002
Dominica,0,71991
Dominican Republic,0,10847904
Ecuador,757,12143060
Egypt,0,102334403
El Salvador,1147,6016201
Equatorial Guinea,0,1402985
Eritrea,0,3546427
Estonia,33,1326539
Eswatini,0,1160164
Ethiopia,0,114963583
Fiji,0,896444
Finland,19,5540718
France,91,65273512
Gabon,0,2225728
Gambia,0,2416664
Georgia,4,3989175
Germany,156,83783945
Ghana,0,31072945
Greece,25,10423056
Grenada,0,112519
Guatemala,0,17915567
Guinea,0,13132792
Guinea-Bissau,0,1874000
Guyana,0,786559
Haiti,0,11402533
Holy See,0,809
Honduras,0,9904608
Hungary,41,9660350
Iceland,0,341250
India,0,1380004385
Indonesia,0,273523621
Iran,0,83992953
Iraq,0,40222503
Ireland,10,4037796
Israel,13,6155541
Italy,210,60461828
Jamaica,2,2961161
Japan,127,126476458
Jordan,0,10203140
Kazakhstan,631,14776707
Kenya,0,53771300
"Korea, South",282,45640000
Kosovo,0,1932774
Kuwait,14,1970563
Kyrgyzstan,88,4824191
Laos,0,7275556
Latvia,55,2386202
Lebanon,0,6825442
Lesotho,0,2142252
Liberia,0,5057677
Libya,0,6871287
Liechtenstein,0,38137
Lithuania,59,3522291
Luxembourg,0,625976
Madagascar,0,27691019
Malawi,0,19129955
Malaysia,0,32365998
Maldives,0,540542
Mali,0,20250834
Malta,0,441539
Mauritania,0,4649660
Mauritius,4,1271767
Mexico,5991,102932753
Moldova,96,3633963
Monaco,0,39244
Mongolia,0,3278292
Montenegro,0,628062
Morocco,0,36910558
Mozambique,0,31255435
Namibia,0,2540916
Nepal,0,29136808
Netherlands,60,17134873
New Zealand,20,4022233
Nicaragua,139,5224554
Niger,0,24206636
Nigeria,0,206139587
North Macedonia,0,2083380
Norway,11,4821242
Oman,0,5106622
Pakistan,0,220892331
Panama,151,3014768
Papua New Guinea,0,8947027
Paraguay,191,5332530
Peru,0,32971846
Philippines,3252,75581085
Poland,186,37846605
Portugal,37,10196707
Qatar,0,2881060
Romania,169,23237682
Russia,7885,145934460
Rwanda,0,12952209
Saint Kitts and Nevis,0,53192
Saint Lucia,0,183629
Saint Vincent and the Grenadines,0,110947
San Marino,0,33938
Sao Tome and Principe,0,219161
Saudi Arabia,0,34813867
Senegal,0,16743930
Serbia,0,6804596
Seychelles,0,98340
Sierra Leone,0,7976985
Singapore,15,3850343
Slovakia,26,5459643
Slovenia,4,1978932
Somalia,0,15893219
South Africa,0,59308690
South Sudan,0,11193729
Spain,96,41754783
Sri Lanka,0,21413250
Sudan,0,43849269
Suriname,0,586634
Sweden,16,9099270
Switzerland,17,7854618
Syria,0,17500657
Taiwan,0,23816775
Tajikistan,124,6137642
Tanzania,0,56320000
Thailand,1456,61799978
Timor-Leste,0,1268000
Togo,0,8278737
Trinidad and Tobago,55,1199491
Tunisia,0,11818618
Turkey,0,84339067
Uganda,0,45741000
Ukraine,1273,49733759
United Arab Emirates,0,9890400
United Kingdom,139,62886004
Uruguay,36,3473727
United States of America,8226,281002647
Uzbekistan,249,23469199
Venezuela,2090,24035943
Vietnam,0,97338583
West Bank and Gaza,0,4430000
Western Sahara,0,597330
Yemen,0,29825968
Zambia,0,18383956
Zimbabwe,0,14862927
