Country,Active,Confirmed,Population
Albania,325,325,2985432
Argentina,660,660,39195777
Armenia,26,26,2963234
Australia,88,88,21499881
Austria,7,7,9006400
Azerbaijan,194,194,8539175
Belarus,267,267,9449321
Belgium,37,37,11589616
Bosnia and Herzegovina,2,2,3280815
Brazil,20386,20386,182559409
Bulgaria,51,51,7348445
Canada,143,143,33742157
Chile,146,146,15116209
Colombia,12834,12834,39882884
Costa Rica,75,75,4094114
Croatia,21,21,4505268
Cuba,348,348,10926616
Czechia,36,36,10708982
Denmark,20,20,5792203
Ecuador,757,757,12143060
El Salvador,1147,1147,6016201
Estonia,33,33,1326539
Finland,19,19,5540718
France,91,91,65273512
Georgia,4,4,3989175
Germany,156,156,83783945
Greece,25,25,10423056
Hungary,41,41,9660350
Ireland,10,10,4037796
Israel,13,13,6155541
Italy,210,210,60461828
Jamaica,2,2,2961161
Japan,127,127,126476458
Kazakhstan,631,631,14776707
"Korea, South",282,282,45640000
Kuwait,14,14,1970563
Kyrgyzstan,88,88,4824191
Latvia,55,55,2386202
Lithuania,59,59,3522291
Mauritius,4,4,1271767
Mexico,5991,5991,102932753
Moldova,96,96,3633963
Netherlands,60,60,17134873
New Zealand,20,20,4022233
Nicaragua,139,139,5224554
Norway,11,11,4821242
Panama,151,151,3014768
Paraguay,191,191,5332530
Philippines,3252,3252,75581085
Poland,186,186,37846605
Portugal,37,37,10196707
Romania,169,169,23237682
Russia,7885,7885,145934460
Singapore,15,15,3850343
Slovakia,26,26,5459643
Slovenia,4,4,1978932
Spain,96,96,41754783
Sweden,16,16,9099270
Switzerland,17,17,7854618
Tajikistan,124,124,6137642
Thailand,1456,1456,61799978
Trinidad and Tobago,55,55,1199491
Ukraine,1273,1273,49733759
United Kingdom,139,139,62886004
Uruguay,36,36,3473727
United States of America,8226,8226,281002647
Uzbekistan,249,249,23469199
Venezuela,2090,2090,24035943
